"","Year","M_imm","Other_mortality","N_imm","Recruitment","Abundance","Temperature","Size","stock","coldpool","lag_cold","ice","lag_ice","imm_sd","mat_sd","p_mort_mat","p_mort_imm"
"1",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237644,NA,NA,NA,NA,NA
"2",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292170,237644,NA,NA,NA,NA
"3",1982,0.229713,0.363328,0.247500866519946,0.26564091127704,0.530607562462906,1.75955419617351,70.9830400623496,"Snow",211250,NA,280293,292170,0.74969,1.1047,0.304641681438198,0.205238333627148
"4",1983,0.170636,0.835615,0.211774026858871,0.188071126682985,0.663337445550616,0.865363551154144,63.8084874409392,"Snow",161525,211250,302066,280293,0.6835,0.54106,0.56639226933882,0.156871583633618
"5",1984,0.147349,1.72847,0.209085767591533,0.262393835257576,0.471476767562473,-0.291665637770214,63.1199456191106,"Snow",207575,161525,328710,302066,0.66841,0.31771,0.822444137274464,0.13700725961288
"6",1985,0.0912786,0.266539,0.262310647769115,0.715329369312243,0.177899285204137,0.701307941307843,68.8672739886393,"Snow",205000,207575,282936,328710,0.61962,0.77598,0.233973871875373,0.087236620404995
"7",1986,0.0828744,0.12809,0.463412885324955,1,0.310747274388474,-0.0928078687068454,57.205436969087,"Snow",257925,205000,273052,282936,0.61025,0.72734,0.12022580409618,0.0795332494160452
"8",1987,0.104313,0.179766,0.506198246759647,0.857432270857459,0.542156210089287,1.64833768151039,55.3767579035019,"Snow",94475,257925,287074,273052,0.62981,0.77423,0.164534312489446,0.099056741955423
"9",1988,0.131554,0.350091,0.50081721029625,0.368597537219794,0.844163178572334,-0.0501863444956086,60.8051448847005,"Snow",205925,94475,285035,287074,0.64606,0.76529,0.295376033979778,0.123268069664739
"10",1989,0.17197,0.4094,0.459477754766454,0.104487332776257,0.891882766302927,1.96945506543723,67.0561326147778,"Snow",106025,205925,298563,285035,0.66799,0.7192,0.335951440232659,0.157995567077411
"11",1990,0.216647,0.581228,0.435738742348432,0.0929280377020858,0.91614338112664,0.193852360272407,75.3860223681652,"Snow",182350,106025,313723,298563,0.69215,0.66399,0.440788766642602,0.194785840259173
"12",1991,0.282267,1.25632,0.628115345520253,0.12699546725921,0.76389240764275,0.966272119973389,62.9924173146305,"Snow",166900,182350,325823,313723,0.70133,0.36049,0.715300203646365,0.245927679657366
"13",1992,0.250983,0.497953,0.866577179330334,0.130326104771603,0.463628808035534,0.608247814674557,55.5774230925986,"Snow",242025,166900,320923,325823,0.71395,0.68928,0.392226500414305,0.221964401948301
"14",1993,0.311791,0.455592,1,0.111536456724013,0.617013752337101,0.944682976390697,50.9817479434454,"Snow",133375,242025,296059,320923,0.69451,0.72608,0.365927514095146,0.267865471644331
"15",1994,0.295833,0.504422,0.795379405943226,0.0776168047267324,0.843754086492268,-0.840052245154229,53.7850742503169,"Snow",259900,133375,317464,296059,0.68685,0.70671,0.396145497520159,0.25608834910702
"16",1995,0.325076,0.851511,0.51854773849809,0.0962655267195262,1,-0.328181200863411,61.9687092257755,"Snow",274275,259900,357572,317464,0.67588,0.51415,0.573230404339101,0.277527556350198
"17",1996,0.451671,0.79172,0.310975076759768,0.227915987113797,0.801442923630668,1.521004364334,72.9292358271642,"Snow",99325,274275,220454,357572,0.60742,0.5,0.546935146823037,0.36343643530949
"18",1997,0.512897,0.799868,0.194941841472289,0.243812822255838,0.571981048273091,0.882697882915158,81.8906964274376,"Snow",173125,99325,265791,220454,0.5772,0.48726,0.550611720544789,0.401241539448839
"19",1998,0.323357,0.916242,0.131734479785552,0.240820998385194,0.385871875478491,1.75083542380755,76.3651365286356,"Snow",100625,173125,325253,265791,0.69582,0.44288,0.599980506775371,0.276284558168712
"20",1999,0.130247,0.284616,0.120817610927567,0.210941719217263,0.211765102088069,-0.408207007252211,69.1082094431397,"Snow",385975,100625,349619,325253,0.65521,0.77061,0.247696916755354,0.122121431867219
"21",2000,0.164037,0.243521,0.129249773378796,0.10848417839707,0.223708304209252,0.345394532351253,59.6978922788542,"Snow",236925,385975,357519,349619,0.68444,0.7535,0.216136985263879,0.151289380993646
"22",2001,0.325,0.649991,0.140446266602412,0.0478170567546436,0.24941099230377,0.658084706982431,64.8009159481214,"Snow",175550,236925,233725,357519,0.68904,0.74188,0.47794952480585,0.277472646357928
"23",2002,0.222803,0.579952,0.192880482527436,0.153414602035031,0.192450863842972,1.20354725463178,71.3172303648652,"Snow",101575,175550,303202,233725,0.71209,0.76358,0.44007475766799,0.199727512553287
"24",2003,0.194102,0.341454,0.252141532962926,0.377456130216212,0.195092616367341,1.20005501949799,56.2454766501187,"Snow",46900,101575,213179,303202,0.70476,0.88088,0.289263839268695,0.176426104553136
"25",2004,0.185797,0.316811,0.292965890359788,0.208745207305048,0.289061316784555,0.827136557148725,51.8566640901876,"Snow",89500,46900,234737,213179,0.69204,0.80523,0.271531577352409,0.169557842369756
"26",2005,0.199325,0.70658,0.304989172957722,0.170927586308812,0.398216379759613,1.12347284076635,62.2736386146375,"Snow",85700,89500,246560,234737,0.6905,0.75209,0.506671500869552,0.180716417104617
"27",2006,0.170999,0.861718,0.241157193768522,0.174708004976073,0.420615781297111,-0.779244291856794,65.2637419941433,"Snow",244375,85700,332516,246560,0.67626,0.60618,0.577564286010621,0.157177583706385
"28",2007,0.187247,0.788931,0.167452387294903,0.189767881756457,0.373297844147242,-0.49333856813333,67.7476776438887,"Snow",281100,244375,275417,332516,0.68527,0.57321,0.545669785220993,0.1707611109178
"29",2008,0.163732,0.482342,0.170067109045103,0.223704326658266,0.321481822547694,-0.496368402675836,66.5996629523903,"Snow",345200,281100,329720,275417,0.67773,0.74095,0.382664103219173,0.151030484775183
"30",2009,0.17621,0.206745,0.30537799987041,0.98766460405018,0.31590832926167,-0.518876901676088,63.8707734516127,"Snow",320075,345200,350421,329720,0.69031,0.76224,0.186773003566134,0.161558107949195
"31",2010,0.358843,0.191635,0.318133546811531,0.92288295211201,0.444653915441201,-0.115314052783019,54.231372731572,"Snow",269125,320075,351966,350421,0.7108,0.74956,0.174391839518875,0.301515995267699
"32",2011,0.344439,0.36611,0.273220470526325,0.68732686515432,0.502431170740396,0.854918287936445,60.7730434770137,"Snow",167875,269125,249895,351966,0.69106,0.71672,0.306573479902839,0.291382223447152
"33",2012,0.26429,0.94376,0.231605402728114,0.0661285772245225,0.534604904282723,-0.422941525581557,60.6235660254929,"Snow",368825,167875,423280,249895,0.7146,0.4722,0.610838167489925,0.232249140379628
"34",2013,0.252643,0.525677,0.226102864465867,0.0235110067413436,0.352075597620448,-0.19034383302151,62.1508517812936,"Snow",258450,368825,362409,423280,0.73249,0.69408,0.408844983081959,0.223254869656535
"35",2014,0.479842,0.832254,0.247218207944933,0.0175941275884583,0.353225347790014,1.63993090050087,62.6092027762859,"Snow",128100,258450,234357,362409,0.69273,0.54434,0.564932461923912,0.381118832693893
"36",2015,0.429726,0.606332,0.567440370145787,0.0407982943782729,0.265773442130684,-0.257681971556549,50.0347759967483,"Snow",122600,128100,197687,234357,0.70394,0.70336,0.454652460282413,0.349312641363688
"37",2016,0.225794,0.426597,0.754210882254684,0.0776403147930711,0.307146567001162,-0.141843079238336,45.6234181776189,"Snow",89225,122600,229818,197687,0.72221,0.93928,0.347273451970457,0.202117551478238
"38",2017,0.178123,0.472905,0.836784532602887,0.419865603026484,0.647608499938775,-0.190629655190005,49.8841325912829,"Snow",169150,89225,183960,229818,0.6964,0.82923,0.376810728653617,0.16316051409853
"39",2018,0.436927,1.03638,0.584175680378273,0.182374973467211,0.990660818046889,3.24929175368596,57.1920758924424,"Snow",6150,169150,96622,183960,0.69652,0.5139,0.645263493389705,0.35398141095365
"40",2019,1.73184,1.59638,0.292513882549725,NA,0.678956159267823,2.48301307710642,70.6261212020591,"Snow",26625,6150,143310,96622,0.22713,0.2721,0.797371292146134,0.823041493421399
"41",2020,NA,NA,NA,NA,NA,NA,NA,NA,69224.96,26625,226707,143310,3.8641,1.9211,NA,NA
"42",2021,0.118208,0.90506,0.0277689223708976,NA,0.214550207684684,2.3408235685255,80.4756808126555,"Snow",58975,69224.96,227375,226707,0.65622,0.43501,0.595482386681927,0.111488776941386
"43",2022,0.19728,0.415657,0.0599562448485082,NA,0.102358264112997,-0.375058470739248,53.0190519654352,"Snow",178625,58975,288117,227375,0.74465,0.85658,0.340093420373036,0.179039267877001
"44",2023,NA,NA,NA,NA,NA,NA,NA,NA,179550,178625,243431,288117,0.96638,0.94171,NA,NA
